	objid	ra	dec	u	g	r	i	z	run	rerun	camcol	field	specobjid	class	redshift	plate	mjd	fiberid	t	p	cost	sint	sinp	cosp	x	y
3529	1.23765e+18	230.2665993	0.556454457	20.68463	18.45644	29164.635	17.03867	15404.144426424624	752	301	5	579	3.51453e+17	GALAXY	0.09721545	312	51689	625	1.0143418697948965	4.01891031515547	0.5281788860523927	0.8491331252097363	-0.7690270532377057	-0.6392162321065783	-15829.971160848845	-19044.691707133778
3530	1.23765e+18	230.2767985	0.513250523	20.7442	18.63426	37989.869999999995	17.05789	18653.46453392406	752	301	5	579	3.525e+17	GALAXY	0.1266329	313	51673	341	1.0575458037948966	4.01908832477654	0.4910115389687846	0.8711530684096256	-0.7691408276921203	-0.6390793277654035	-21150.325124077044	-25454.709400116364
3531	1.23765e+18	230.2939784	0.610163608	20.13756	18.7572	38009.79	17.36395	21779.668714622527	752	301	5	579	3.52504e+17	GALAXY	0.1266993	313	51673	353	0.9606327187948965	4.019388170596702	0.5730015534056496	0.8195542811764895	-0.7693324183786613	-0.6388486753775424	-19900.830105048823	-23965.54042068268
3532	1.23765e+18	230.2103771	0.502556144	21.46881	20.75892	163717.29	18.69232	78857.24822544324	752	301	5	579	4.51727e+18	GALAXY	0.5457243	4012	55327	597	1.0682401827948964	4.017929052652755	0.4816671973097236	0.876354215506376	-0.7683994441798166	-0.6399705416534021	-91819.34931862472	-110245.60099141963
3533	1.23765e+18	230.2530532	0.559867704	23.8309	21.68806	184048.17	18.69334	97743.21712477395	752	301	5	579	4.51728e+18	GALAXY	0.6134939	4012	55327	599	1.0109286227948966	4.018673891109666	0.5310741048105718	0.8473253774080237	-0.7688759056584807	-0.6393980307272232	-99713.28215159985	-119905.18649751412
3534	1.23765e+18	230.4077535	0.466026588	17.20734	15.75512	8602.293	14.60878	3865.3556397410293	752	301	5	580	3.52515e+17	GALAXY	0.02867431	313	51673	395	1.1047697387948965	4.021373920698489	0.44934015148531087	0.8933607492290883	-0.7705994945504667	-0.637319714898704	-4897.7707290697	-5922.019294264354
3535	1.23765e+18	230.3302439	0.525401067	21.42531	20.07174	107152.76999999999	18.21843	53743.545167500706	752	301	5	580	4.51729e+18	GALAXY	0.3571759	4012	55327	639	1.0453952597948966	4.020021122976585	0.5015600172305458	0.8651228520364577	-0.7697366250328027	-0.6383615966543652	-59176.31789302175	-71354.82374812332
3536	1.23765e+18	230.3515768	0.487531635	22.43148	22.14865	149871.54	19.40552	70206.80392526994	752	301	5	580	4.51728e+18	GALAXY	0.4995718	4012	55327	607	1.0832646917948965	4.020393452320584	0.46844653711618583	0.8834918459521027	-0.7699742524278648	-0.6380749568805775	-84487.68595413127	-101952.50907499235
3537	1.23765e+18	230.3338476	0.58738512	23.69949	22.7943	183766.86	19.66477	101841.07862084114	752	301	5	580	4.51729e+18	GALAXY	0.6125562	4012	55327	635	0.9834112067948966	4.0200840194068395	0.554186313140689	0.8323926539365483	-0.7697767741758932	-0.6383131817057799	-97640.33179455515	-117749.81590920824
3538	1.23765e+18	230.4928837	0.47881063	19.63524	18.36384	39636.15	17.35642	18261.32097569049	752	301	5	581	3.51453e+17	GALAXY	0.1321205	312	51689	627	1.0919856967948967	4.022859722981369	0.4607238840223001	0.8875435215759316	-0.771545574698568	-0.6361740533557279	-22379.84497473423	-27142.053753394746
